"title","url","image","type","priority","home","home_image","lat","lon"
"Accio Escolta de Catalunya","https://decidim.accioescolta.cat","/uploads/logo_accioescolta.png","org","50","","","",""
"Assemblea Catalana per la Transició Ecosocial","https://decidim.assembleaecosocial.cat/","/uploads/logo_acte.png","org","50","","","",""
"Administració Oberta de Catalunya","https://www.aoc.cat/en/blog/2022/disponible-el-nou-servei-decidim-catalunya/","/uploads/logo_aoc.png","org","50","","","",""
"Santa Maria de Palautordera","https://participa311-palau.diba.cat/","/uploads/logo_palautordera.png","city","50","","","",""
"AFA Escola Àngels Garriga","https://participa.angelsgarriga.net/","/uploads/logo_afa_angelsgarriga.png","org","50","","","",""
"AFA Reina Violant","https://participa.afareinaviolant.org/","/uploads/logo_afa_reinaviolant.jpeg","org","50","","","",""
"Agence landaise pour l'informatique ","https://web.archive.org/web/20240418233555/https://participez.alpi40.fr/","/uploads/logo_alpi.jpeg","org","50","","","",""
"Agence Nationale de la Cohesion des Territoires","https://web.archive.org/web/20230609144109/https://mon.incubateur.anct.gouv.fr/","/uploads/logo_anct.svg","region","50","false","","",""
"Agenzia Mobilita Piemontese","https://ampartecipa.mtm.torino.it/","/uploads/logo_amp.png","org","50","","","",""
"Agora SSO - Code for France","https://web.archive.org/web/20230507145906/https://agorasso.codefor.fr/","/uploads/logo_agorasso.png","org","50","","","",""
"Agora","https://participa.edaverneda.org/","/uploads/logo_agora.jpg","org","50","","","",""
"AiCT","https://aict.makeour.city/","/uploads/logo_aict.jpg","org","50","","","",""
"Aide et Action","https://web.archive.org/web/20220124141920/https://participation.aide-et-action.org/","/uploads/logo_aide_et_action.jpg","org","50","","","",""
"Ajuntament de Galdakao","https://erabaki.galdakao.eus/","/uploads/image-1-.png","city","50","","","43.2318264","-2.8452641"
"Ajuntament de Guissona","https://web.archive.org/web/20220412194458/https://decidim.guissona.cat/","/uploads/logo_aj_guissona.jpg","city","50","","","",""
"Ajuntament de l'Ampolla","https://ampolla.decidimcatalunya.cat/","/uploads/logo_aj_ampolla.png","city","50","","","40.8295437","0.699475"
"Ajuntament de Premià de Mar","https://participa311-premiademar.diba.cat/","/uploads/logo_premiademar.jpg","city","50","","","",""
"Ajuntament de Sencelles","https://decidim.sencelles.cat/","/uploads/logo_aj_sencelles.jpg","city","50","","","39.6468979","2.8978663"
"Ajuntament de Tolosa","https://erabaki.tolosa.eus/","/uploads/images.png","city","50","","","43.1385028","-2.072656"
"Ajuntament de Vilalba dels Arcs","https://vilalbadelsarcs.decidimcatalunya.cat/","/uploads/logo_aj_vilalbadelsarcs.png","city","50","","","41.1173865","1.0411404"
"Alella","https://participa311-alella.diba.cat/","/uploads/logo_aj_alella.jpg","city","50","","","",""
"Alsace","https://entre-vos-mains.alsace.eu/","/uploads/logo_aj_alsace.svg","city","50","","","",""
"ANECA","https://participa.aneca.es/","/uploads/logo_aneca.png","org","50","","","",""
"Antibes Juan-les-Pins","https://participez.antibes-juanlespins.com/","/uploads/logo_aj_antibes.png","city","50","","","",""
"Arcueil","https://participer.arcueil.fr/","/uploads/logo_aj_arcueil.svg","city","50","","","",""
"Area Metropolitana de Barcelona","https://participa.amb.cat/","/uploads/logo_amb.png","region","50","","","",""
"Arenys de Mar","https://participa311-arenysparticipacio.diba.cat","/uploads/logo_aj_arenysdemar.png","city","50","","","",""
"Arenys de Munt","https://participa311-arenysdemunt.diba.cat/","/uploads/logo_arenysdemunt.png","city","50","","","",""
"Asamblea Ciudadana para el Clima","https://web.archive.org/web/20221024093802/https://participa.asambleaciudadanadelcambioclimatico.es/","/uploads/logo_asambleaciudadanaparaelclima.webp","org","50","","","",""
"Assemblée Nationale","https://petitions.assemblee-nationale.fr/","/uploads/logo_assemblee_nationale_fr.svg","region","95","true","/uploads/logo_assemblee_nationale_fr_red.png","",""
"Associació de Mestres Rosa Sensat","https://participa.rosasensat.org/","/uploads/logo_rosasensat.png","org","50","","","",""
"Associació Economia Social Catalunya","https://participa.economiasocialcatalunya.cat/","/uploads/logo_economiasocialcatalunya.png","org","50","","","",""
"Asuntos del Sur","https://masdigital.asuntosdelsur.org/","/uploads/logo_asuntosdelsur.png","org","50","","","",""
"Auch","https://agirpourmaville.auch.fr/","/uploads/logo_aj_auch.png","city","50","","","",""
"Axian Group","https://innovation.axian-group.com/","/uploads/logo_axian_group.png","org","50","","","",""
"Ayuntamiento de Pinto","https://participa.ayto-pinto.es/","/uploads/logo_aj_pinto.png","city","50","","","40.2424298","-3.6994588"
"Badalona","https://participa311-badalona.diba.cat/","/uploads/logo_aj_badalona.png","city","50","","","",""
"Bagneux","https://participez.bagneux92.fr/","/uploads/logo_aj_bagneux.svg","city","50","","","",""
"Banská Bystrica","https://tvormespolu.banskabystrica.sk/","/uploads/logo-mesta-s-lomitkom.png","city","50","","","",""
"Barberà del Vallès","https://participa311-barbera.diba.cat/","/uploads/logo_aj_barberadelvalles.png","city","50","","","",""
"Barcelona En Comú","https://encomuparticipa.barcelonaencomu.cat/","/uploads/logo_barcelonaencomu.png","org","50","","","",""
"Barcelona Energia","https://web.archive.org/web/20240421233653/https://decidim.barcelonaenergia.cat/","/uploads/logo_barcelonaenergia.jpg","org","96","false","","",""
"Barcelona","https://www.decidim.barcelona/","/uploads/logo_aj_barcelona.svg","city","100","true","/uploads/logo_aj_barcelona_red.svg","",""
"Bauhaus4Med","https://b4m.space/","/uploads/logo_bauhaus4med.png","org","50","","","",""
"Begues","https://participa311-begues.diba.cat/","/uploads/logo_aj_begues.png","city","50","","","",""
"BePart ","https://bepart.platoniq.net/","/uploads/logo_bepart.png","org","50","","","",""
"Bergueda","https://participa311-bergueda.diba.cat/","/uploads/logo_bergueda.png","city","50","","","",""
"Berlin Mit Allen Gestalte","https://www.berlinmitallengestalten.de/","/uploads/bmag_mosaik_baeren__.png","city","50","","","52.5100765","13.3925653"
"Besaya","https://web.archive.org/web/20231016175450/https://besayaeuropa.es/","/uploads/logo_besayaeuropa.png","org","50","","","",""
"Binic-Etables sur Mer","https://jeparticipe.besurmer.fr/","/uploads/logo_aj_binic-etables-sur-mer.png","city","50","","","",""
"Bodo","https://bodo.smartbyene.no","/uploads/logo_aj_bodo.png","city","50","","","",""
"Bordeaux Métropole","https://participation.bordeaux-metropole.fr/","/uploads/blocmarque.png","region","50","","","44.834132","-0.587114"
"Bordeaux","https://participation.bordeaux.fr/","/uploads/logo_aj_bordeaux.png","city","50","","","",""
"Botkyrka","https://dialog.botkyrka.se","/uploads/logo_aj_botkyrka.svg","city","50","","","",""
"Brasil Participativo","https://brasilparticipativo.presidencia.gov.br/","/uploads/logo_brasil_participativo.png","region","95","true","/uploads/logo_brasil_participativo_red.png","",""
"Bélgica","https://monopinion.belgium.be/","/uploads/logo_monopinion.png","region","2","","","",""
"Cabildo de Fuerteventura","https://participacion.cabildofuer.es/","/uploads/logo_cabbios_neglong_sinconsej_rgb.jpg","region","50","","","28.2533763","-14.0735942"
"Cabrera de Mar","https://participa311-cabrerademar.diba.cat/","/uploads/logo_aj_cabrerademar.png","city","50","","","",""
"Cachan","https://parlonsensemble-cachan.fr/","/uploads/logo_aj_cachan.png","city","50","","","",""
"Calaf","https://participa311-calaf.diba.cat/","/uploads/logo_aj_calaf.jpg","city","50","","","",""
"Calafell","https://decidim.calafell.cat","/uploads/logo_aj_calafell.png","city","2","","","",""
"Caldes de Montbui","https://participa311-caldesdemontbui.diba.cat/","/uploads/logo_aj_caldesdemontbui.png","city","50","","","",""
"Calldetenes","https://participa311-calldetenes.diba.cat/","/uploads/logo_aj_calldetenes.png","city","50","","","",""
"Calonge i Sant Antoni","https://calongeisantantoni-decidim.ddgi.cat/","/uploads/logo_calongeisantantoni.jpg","city","50","","","",""
"Canodrom","https://comunitat.canodrom.barcelona/","/uploads/logo_canodrom.png","org","50","","","",""
"Canovelles","https://participa311-canovelles.diba.cat/","/uploads/logo_aj_canovelles.jpg","city","50","","","",""
"Cap Digital","https://build.capdigital.com/","/uploads/logo_cap4.png","org","50","","","48.8700897","2.3564638"
"Capellades","https://participa311-capellades.diba.cat/","/uploads/logo_aj_capellades.png","city","50","","","",""
"Castell-Platja d'Aro","https://castell-platja-aro-decidim.ddgi.cat/","/uploads/logo_aj_castellplatjaaro.jpg","city","50","","","",""
"Castellbisbal","https://participa311-castellbisbal.diba.cat/","/uploads/logo_aj_castellbisbal.png","city","50","","","",""
"Castellcir","https://participa311-castellcir.diba.cat/","/uploads/logo_aj_castellcir.png","city","50","","","",""
"Castelldefels","https://participa311-participacastelldefels.diba.cat/","/uploads/logo_aj_castelldefels.png","city","50","","","",""
"Castelloli","https://participa311-castelloli.diba.cat/","/uploads/logo_aj_castelloli.jpg","city","50","","","",""
"Castellvi de la Marca","https://participa311-castellvidelamarca.diba.cat/","/uploads/logo_aj_castellvi.png","city","50","","","",""
"Castilla La Mancha","https://web.archive.org/web/20190416194837/https://participa.castillalamancha.es/","/uploads/logo_castilla_la_mancha.png","region","50","","","",""
"Catalonia IOT Alliance","https://web.archive.org/web/20201125163717/https://reptes.cataloniaiot.com/","/uploads/logo_catalaniotalliance.jpg","org","50","","","",""
"Catalunya en Comú","https://comunitat.catalunyaencomu.cat/","/uploads/logo_catalunyaencomu.png","org","50","","","",""
"Centre National de Ressources Handicaps Rares","https://plateforme-cooperative-cnrlapepiniere.gapas.org/","/uploads/logo_cnrhr-lapepiniere.png","org","50","","","",""
"Cercles Coop","https://meta.cercles.coop/","/uploads/cercles.jpeg","org","50","false","","",""
"Cerdanyola del Valles","https://participa311-cerdanyola.diba.cat/","/uploads/logo_aj_cerdanyola.png","city","50","","","",""
"Chambery","https://participons.chambery.fr/","/uploads/logo_aj_chambery.png","city","50","","","",""
"Changing cities - Urbane mobilitat ","https://web.archive.org/web/20210924183525/https://ifs.decidim.de/","/uploads/logo_changing_cities.png","org","50","","","",""
"Cities for Change","https://citiesforchange.org/","/uploads/logo_citiesforchange.png","org","50","","","",""
"Ciudad de Mexico","https://web.archive.org/web/20240423051157/https://plazapublica.cdmx.gob.mx/","/uploads/logo_aj_cdmx.png","city","95","true","/uploads/logo_aj_cdmx_red.png","",""
"Clairoix","https://web.archive.org/web/20230328161312/https://participez.clairoix.fr/","/uploads/logo_aj_clairoix.png","city","50","","","",""
"Club Bàsquet Verges","https://cbverges.cat/","/uploads/logo_cbveges.jpg","org","50","","","42.0622056","3.0463714"
"Club des utilisateurs francophones de Decidim","https://club.decidim.opensourcepolitics.eu/","/uploads/logo_club_franfophones_decidim.png","org","50","","","",""
"Coact for Mental Health","https://web.archive.org/web/20230131024056/https://coactuem.ub.edu/","/uploads/logo_coact.svg","org","50","","","",""
"ASSOCIACIONS FEDERADES DE FAMÍLIES D’ALUMNES DE CATALUNYA","https://participa.affac.cat/","/uploads/logo_affac.png","org","50","","","",""
"Code For France","https://codefor.fr","/uploads/logo_codeforfr.png","org","96","false","","",""
"Code for Japan","https://meta.diycities.jp/assemblies/hereandthere/f/405/proposals/391","/uploads/code-for-japan.jpg","city","50","","","",""
"Coinicidim","https://coincidim.cat/","/uploads/logo_coincidim.png","org","50","","","",""
"Colaboratorio","https://comunidad.colaboratorioic.org/","/uploads/logo_colaboratorio.png","org","50","","","",""
"Colectic Coop","https://participa.colectic.coop","/uploads/logo_colectic.png","org","50","","","",""
